Match Id,Match Number,Group Number,Team A,Team B,Innings,Over,Runs,Main Message,Complete Commentary
1415704,4,D,South Africa,Sri Lanka,1,19.1,1W,"Jansen to Theekshana, 1 run, OUT","full on off, mistimed heave down the ground. They look to run two, but mid-off running back sends in a gun throw and Thushara is well short. Sri Lanka are bowled out for 77, it's their lowest ever T20I score"
1415704,4,D,South Africa,Sri Lanka,1,18.6,1,"Baartman to Theekshana,  1 run","full and straight, worked down to long-on for one"
1415704,4,D,South Africa,Sri Lanka,1,18.5,•,"Baartman to Theekshana, no run",Swing and a miss! Short outside off. Quicker and steeper than the last one as Theekshana misses
1415704,4,D,South Africa,Sri Lanka,1,18.4,4,"Baartman to Theekshana, FOUR runs",Put away as a big cheer goes up! Sits up from a short of a length and Theekshana clobbers this pull wide of long-on
1415704,4,D,South Africa,Sri Lanka,1,18.3,•,"Baartman to Theekshana, no run",swing and a miss as this short one zips through
1415704,4,D,South Africa,Sri Lanka,1,18.2,•,"Baartman to Theekshana, no run","short of a length on the stumps, worked briefly in the air towards the vacant midwicket. Theekshana is looking to farm the strike but Thushara is already haring away. He's almost at the batting crease before being turned back. Could've run two there honestly"
1415704,4,D,South Africa,Sri Lanka,1,18.1,•,"Baartman to Theekshana, no run","full outside off, Theekshana clears that front leg and swings. Beaten on the outside edge"
1415704,4,D,South Africa,Sri Lanka,1,17.6,•,"Rabada to Thushara, no run",This time Thushara takes the blow on his pads. Full but angling past leg as Thushara moves away once more. He really isn't keen on being anywhere near the ball
1415704,4,D,South Africa,Sri Lanka,1,17.5,•,"Rabada to Thushara, no run","Again moves away, ball hits bat rather than the other way around"
1415704,4,D,South Africa,Sri Lanka,1,17.4,•,"Rabada to Thushara, no run","good length, angled in towards leg. Thushara though is very eager to move out of the way, ball hits high on the bat"
1415704,4,D,South Africa,Sri Lanka,1,17.3,•,"Rabada to Thushara, no run","low full toss, angled in on leg. Kept out"
1415704,4,D,South Africa,Sri Lanka,1,17.2,W,"Rabada to Pathirana, OUT","Top edge and taken easily at mid-on! This was full on middle and leg, Pathirana gets a leading edge as he looks to work it onside. Ends up going high but not very far. Sri Lanka are 9 down"
1415704,4,D,South Africa,Sri Lanka,1,17.1,•,"Rabada to Pathirana, no run",Makes room and swings hard. Misses by a wide margin as this bounces over off stump
1415704,4,D,South Africa,Sri Lanka,1,16.6,•,"Baartman to Theekshana, no run","Back of a length wider of off, Theekshana pokes at it and misses"
1415704,4,D,South Africa,Sri Lanka,1,16.6,1w,"Baartman to Theekshana, 1 wide","full and slips down leg, wide given. Well kept"
1415704,4,D,South Africa,Sri Lanka,1,16.5,•,"Baartman to Theekshana, no run","And again! Just too good for Theekshana, who just can't get bat on it"
1415704,4,D,South Africa,Sri Lanka,1,16.4,•,"Baartman to Theekshana, no run","good length, 133kph, seams away a touch and beats the outside edge as well as off stumps."
1415704,4,D,South Africa,Sri Lanka,1,16.3,•,"Baartman to Theekshana, no run",short and ducked under
1415704,4,D,South Africa,Sri Lanka,1,16.2,•,"Baartman to Theekshana, no run","full on off, driven but not timed straight to mid-off"
1415704,4,D,South Africa,Sri Lanka,1,16.1,•,"Baartman to Theekshana, no run","good length on off, gets behind the line and defends"
