Match Id,Match Number,Group Number,Team A,Team B,Innings,Over,Runs,Main Message,Complete Commentary
1415701,1,A,United States Of America,Canada,1,19.6,2,"Ali Khan to Movva,  2 runs","Driven down the ground, they scamper back before the throw from long-off comes through. Movva's charge gives Canada a 21-run over to finish off the innings"
1415701,1,A,United States Of America,Canada,1,19.5,6,"Ali Khan to Movva,  SIX runs","That's the flat-bat at its imperious best. Creamed wide of long-off, Steve Smith-esque from Movva, who makes a bit of room and belts the shortish ball on the top of the bounce"
1415701,1,A,United States Of America,Canada,1,19.4,4,"Ali Khan to Movva, FOUR runs","Movva's quick hands power the ball through the line again. Ali misses the yorker only by a bit Movva clears the front leg, gets into the stablest of bases and drives it straight"
1415701,1,A,United States Of America,Canada,1,19.4,1w,"Ali Khan to Movva, 1 wide","Bumper goes down leg, Movva tries to hook it but misses. Keeper lobs the ball up too high, no threat of byes though"
1415701,1,A,United States Of America,Canada,1,19.3,1,"Ali Khan to Heyliger,  1 run","Bumper over leg stump, batter makes room and charges. Doesn't middle the pull but gets it to long-on"
1415701,1,A,United States Of America,Canada,1,19.2,1,"Ali Khan to Movva,  1 run",Lands the yorker near the crease this time. Clips it to deep fine leg
1415701,1,A,United States Of America,Canada,1,19.1,6,"Ali Khan to Movva,  SIX runs",Misses the yorker by a little bit and Heyliger punishes it. Lifts it from shin-height and gets it straight of long-off for a 76-metre six
1415701,1,A,United States Of America,Canada,1,18.6,1W,"Anderson to Bajwa, 1 run, OUT","They look to sneak another two, throw is in at the keeper's end. Bails dislodged, decision sent upstairs. Bajwa dove forward... but is a few inches short. Bajwa had heaved it to the right of long-on"
1415701,1,A,United States Of America,Canada,1,18.5,•,"Anderson to Bajwa, no run","Canada haven't been able to pull off the unconventional shots. Bajwa changes his guard and winds up big for the reverse sweep, commits fully but the full ball outside off beats him"
1415701,1,A,United States Of America,Canada,1,18.4,6,"Anderson to Bajwa,  SIX runs","The sound off the bat on that pull is pure!. Bajwa was ever so ready for the slower half-tracker angling in towards fourth stump. Got upright and hauled it over midwicket, 89-metre six. Proper biggie"
1415701,1,A,United States Of America,Canada,1,18.3,4,"Anderson to Bajwa, FOUR runs","Goes across, gets inside the line and essentially sweeps the length ball in the gap to the right of square leg. No one in the deep there"
1415701,1,A,United States Of America,Canada,1,18.2,1,"Anderson to Movva,  1 run",Goes through with the lofted cover drive but is a bit too early into it. Ball lands safely in front of long-off
1415701,1,A,United States Of America,Canada,1,18.1,2,"Anderson to Movva,  2 runs",Gous runs back... and can't take it. He started from square leg and was late to pick up where the ball was going and that cost him distance.
1415701,1,A,United States Of America,Canada,1,17.6,•,"Ali Khan to Bajwa, no run",Slower bumper is outside off and Bajwa tries to slap it with the cross bat. Misses
1415701,1,A,United States Of America,Canada,1,17.5,W,"Ali Khan to Kirton, OUT","Full ball has been skewered to cover, Kirton tried to end Canada's boundary-drought by lifting the full ball with an open face but couldn't get under the ball. Front leg was out the way, he got inside the line a bit too mucb as well. Hits it straight to Anderson"
1415701,1,A,United States Of America,Canada,1,17.4,1lb,"Ali Khan to Movva, 1 leg bye","Movva makes room and Ali follows him with a very full ball, close to the block-hole with the batter's movement. Beats the flick and the ball deflects off the pad to the off side"
1415701,1,A,United States Of America,Canada,1,17.4,1w,"Ali Khan to Movva, 1 wide","Late call of wide leaves the keeper, and USA's skipper, unimpressed. Was a shortish ball, and Movva walked towards it real late and tried to reverse-pull it. Beaten. The movement across the crease hasn't helped the batters of late"
1415701,1,A,United States Of America,Canada,1,17.3,1,"Ali Khan to Kirton,  1 run","Ali nearly nails the wide yorker and all Kirton can do is slice it to deep-backward point. 135ks, lands just in front of the crease"
1415701,1,A,United States Of America,Canada,1,17.2,•,"Ali Khan to Kirton, no run","Goes for the reverse ramp and misses. Kirton went square-on, got his feet wide apart and tried to help the full ball, angling through fifth, between keeper and short third"
1415701,1,A,United States Of America,Canada,1,17.1,1,"Ali Khan to Movva,  1 run","Pitched up, driven hard but finds mid-on. Ball went along the ground"
1415701,1,A,United States Of America,Canada,1,16.6,2,"Anderson to Kirton,  2 runs","Very tight two to backward square leg and Movva makes it, raises fifty too . He raises his bat. Was a slower bumper that was pulled gently and into the ground. Fielder charged in and threw well but the batter was quicker"
