Player,Effective Over Ranges,Role,Best Shot,Most Frequent Dismissal,Balls Faced,Total Runs,Best Delivery,Worst Delivery,Balls Bowled,Runs Conceded
Aaron Jones,0-19,Batsman,sweep,bowled,53.0,140.0,,,,
Aasif Sheikh,0-0,Batsman,,,1.0,4.0,,,,
Adair,9-9,Batsman,,,1.0,3.0,,,,
Airee,9-9,Batsman,pull shot,,1.0,1.0,,,,
Amini,7-14,Batsman,cut shot,,13.0,17.0,,,,
Anderson,15-16,Batsman,,,3.0,3.0,,,,
Angelo Mathews,10-19,Batsman,flick,,16.0,32.0,,,,
Aqib,0-5,Batsman,,,9.0,25.0,,,,
Asalanka,8-13,Batsman,sweep,,15.0,25.0,,,,
Ayaan Khan,7-15,Batsman,sweep,bowled,28.0,51.0,,,,
Azmatullah,14-19,Batsman,cut shot,,11.0,27.0,,,,
Babar Azam,1-15,Batsman,pull shot,,24.0,44.0,,,,
Bairstow,9-13,Batsman,pull shot,,6.0,7.0,,,,
Bajwa,6-18,Batsman,pull shot,,6.0,17.0,,,,
Balbirnie,0-1,Batsman,,,2.0,5.0,,,,
Bau,1-15,Batsman,cut shot,caught,27.0,55.0,,,,
Berrington,7-18,Batsman,sweep,,25.0,46.0,,,,
Bhurtel,0-2,Batsman,sweep,lbw,4.0,7.0,,,,
Bilal Hassun,12-15,Batsman,,,4.0,8.0,,,,
Bilal Khan,18-19,Batsman,,,2.0,2.0,,,,
Boult,13-14,Batsman,,,3.0,3.0,,,,
Brook,14-19,Batsman,pull shot,,13.0,20.0,,,,
Buttler,1-9,Batsman,cut shot,,15.0,42.0,,,,
Campher,6-8,Batsman,sweep,,4.0,12.0,,,,
Chapman,6-7,Batsman,,,4.0,4.0,,,,
Charles,0-11,Batsman,cut shot,,19.0,44.0,,,,
Chase,10-18,Batsman,sweep,,20.0,42.0,,,,
Conway,0-2,Batsman,,,4.0,8.0,,,,
Cross,9-10,Batsman,pull shot,,3.0,3.0,,,,
David,14-19,Batsman,cut shot,,8.0,19.0,,,,
Davin,0-8,Batsman,cut shot,caught,19.0,44.0,,,,
Delany,11-15,Batsman,cut shot,bowled,10.0,26.0,,,,
Dhaliwal,0-13,Batsman,flick,,29.0,67.0,,,,
Dhananjaya,5-15,Batsman,cut shot,,17.0,21.0,,,,
Dockrell,8-9,Batsman,flick,,2.0,3.0,,,,
Doriga,11-19,Batsman,sweep,,18.0,39.0,,,,
Edwards,9-14,Batsman,cut shot,,9.0,15.0,,,,
Engelbrecht,5-18,Batsman,pull shot,,34.0,54.0,,,,
Erasmus,0-13,Batsman,cut shot,,34.0,73.0,,,,
Ferguson,12-12,Batsman,,,1.0,2.0,,,,
Frylinck,0-18,Batsman,pull shot,caught,31.0,57.0,,,,
Gous,0-14,Batsman,pull shot,,40.0,99.0,,,,
Greaves,17-18,Batsman,flick,,3.0,4.0,,,,
Green,7-17,Batsman,pull shot,,19.0,28.0,,,,
Gulbadin,16-17,Batsman,,,3.0,4.0,,,,
Gulsan Jha,13-18,Batsman,cut shot,,9.0,14.0,,,,
Gurbaz,0-18,Batsman,cut shot,bowled,67.0,156.0,,,,
Haris Rauf,18-19,Batsman,,,3.0,3.0,,,,
Head,0-5,Batsman,cut shot,,16.0,46.0,,,,
Hendricks,0-0,Batsman,,,2.0,7.0,,,,
Henry,9-14,Batsman,,,7.0,12.0,,,,
Heyliger,19-19,Batsman,pull shot,,1.0,1.0,,,,
Hiri,3-11,Batsman,sweep,bowled,11.0,17.0,,,,
Ibrahim Zadran,0-14,Batsman,flick,run out,53.0,110.0,,,,
Iftikhar,0-17,Batsman,pull shot,bowled,10.0,22.0,,,,
Jacks,7-10,Batsman,cut shot,,7.0,10.0,,,,
Jansen,16-17,Batsman,pull shot,,2.0,3.0,,,,
Johnson,0-4,Batsman,flick,caught,13.0,37.0,,,,
Jones,0-9,Batsman,pull shot,,32.0,71.0,,,,
Jordan,19-19,Batsman,,,1.0,1.0,,,,
Kaleemullah,17-19,Batsman,,,6.0,8.0,,,,
Kamindu Mendis,2-6,Batsman,sweep,,8.0,15.0,,,,
